No,공동주택,빌링전용,공급전용,공동주택명,공동주택검사명,난방방식,공동주택계약,정기검사,지사,완성검사일자,기밀시험시행년도,정기검사기준월,주소,연락처,세대수,동수,사용여부,전용면적등록구분,도로명주소,위도,경도
666,30111,아니오,아니오,진성아파트,평리진성,개별난방,아니오,예,서부안전팀,1992-01-15,2004, 1 월,서구 국채보상로50길 62 (평리동 1314-17),,40,1,사용,등록,대구광역시 서구 국채보상로50길 62,35.86569869,128.5597682
667,30112,아니오,아니오,평리금오아파트,평리서대구금오,개별난방,아니오,예,서부안전팀,1993-01-27,2005, 1 월,서구 서대구로32길 14 (평리동 1089-10),,47,1,사용,등록,대구광역시 서구 서대구로32길 14,35.87221377,128.5562918
668,30113,아니오,아니오,평리태양빌라,평리태양빌라,개별난방,아니오,예,서부안전팀,1996-09-12,2005, 9 월,서구 국채보상로48길 62 (평리동 1356-4),,8,1,사용,등록,대구광역시 서구 국채보상로48길 62,35.86522096,128.558577
669,30114,아니오,아니오,평리반도아파트,평리반도,개별난방,아니오,예,서부안전팀,1998-02-25,2004, 2 월,서구 국채보상로46길 63 (평리동 1356-1),555-5305,50,1,사용,등록,대구광역시 서구 국채보상로46길 63,35.86483123,128.5568725
670,30115,아니오,아니오,평리청구타운,평리청구,개별난방,아니오,예,서부안전팀,1999-12-03,2005,12 월,서구 서대구로 77 (평리동 1408),563-8824,605,5,사용,등록,대구광역시 서구 서대구로 77,35.86372139,128.5556669
671,30116,예,아니오,장미아파트,,개별난방,아니오,예,,,,,서구 통학로18길 38 (평리동 1139-1),,10,1,사용,등록,대구광역시 서구 통학로18길 38,35.86844929,128.5674338
672,30117,예,아니오,서원타운,,개별난방,아니오,예,,,,,서구 국채보상로48길 10-8 (평리동 1336-3),,18,1,사용,등록,대구광역시 서구 국채보상로48길 10-8,35.87010001,128.5565448
673,30118,예,아니오,스카이빌,,개별난방,아니오,예,,,,,서구 문화로63길 17 (평리동 772-10),,17,1,사용,등록,대구광역시 서구 문화로63길 17,35.87754916,128.5678006
674,30119,예,아니오,미래하이빌,,개별난방,아니오,예,,,,,서구 국채보상로50길 42-24 (평리동 1320-3),,14,1,사용,등록,대구광역시 서구 국채보상로50길 42-24,35.86718838,128.5590147
675,30120,아니오,아니오,명지미래힐,평리동주상복합아파트,개별난방,아니오,예,서부안전팀,2003-09-04,2006, 9 월,서구 서대구로 147 (평리동 1523-3),,30,1,사용,등록,대구광역시 서구 서대구로 147,35.87109979,128.5545732
