시도,시군구,읍면,동리,단지코드,단지명,단지분류,법정동주소,도로명주소,사용승인일,동수,세대수,난방방식,난방연료,난방공급업체,고시지역명,고시지역여부,위도,경도
대구광역시,동구,,신천동,A10022662,더샵디어엘로,,대구광역시 동구 신천동 353-1 더샵디어엘로,대구광역시 동구 화랑로 33,20240401,12,1190,개별난방,도시가스,대성에너지,,False,35.869168742,128.631401782
대구광역시,동구,,신천동,A10026010,동대구 반도유보라,아파트,대구광역시 동구 신천동 4-10 동대구 반도유보라,대구광역시 동구 송라로16길 11,20180228,9,764,개별난방,도시가스,대성에너지,,False,35.875695265,128.617770554
대구광역시,동구,,신천동,A10024046,동대구 비스타동원,아파트,대구광역시 동구 신천동 1511 동대구 비스타동원,대구광역시 동구 화랑로 51,20211124,5,524,개별난방,도시가스,대성에너지,,False,35.871977627,128.630119908
대구광역시,동구,,신천동,A10022489,동대구동화아이위시,,대구광역시 동구 신천동 56-1 동대구동화아이위시,대구광역시 동구 동부로 107,20231208,1,144,개별난방,도시가스,대성에너지,,False,35.876353397,128.624201622
대구광역시,동구,,신천동,A70182301,동대구삼환나우빌,주상복합,대구광역시 동구 신천동 45-3 동대구삼환나우빌,대구광역시 동구 동부로 81,20071012,2,196,개별난방,도시가스,대성에너지,,False,35.875766588,128.621135241
대구광역시,동구,,신천동,A10023845,동대구역 우방아이유셀,아파트,대구광역시 동구 신천동 1508 동대구역 우방아이유셀,대구광역시 동구 동부로 115,20220328,4,322,개별난방,도시가스,대성에너지,,False,35.877152322,128.624683591
대구광역시,동구,,신천동,A10023787,동대구역더샵센터시티,아파트,대구광역시 동구 신천동 1514 동대구역더샵센터시티,대구광역시 동구 동부로19길 18,20220527,5,445,개별난방,도시가스,대성에너지,,False,35.876829344,128.62391148
대구광역시,동구,,신천동,A10023648,동대구역센트럴시티자이,아파트,대구광역시 동구 신천동 193-1 동대구역센트럴시티자이,대구광역시 동구 송라로10길 33,20220829,8,553,개별난방,도시가스,대성에너지,,False,35.873496308,128.62371983
대구광역시,동구,,신천동,A70102104,동신우방아파트,아파트,대구광역시 동구 신천동 633 동신우방아파트,대구광역시 동구 송라로11길 86,19961004,3,429,개별난방,도시가스,대성에너지,,False,35.871537979,128.614749564
대구광역시,동구,,신천동,A70182402,벽산e-솔렌스힐,주상복합,대구광역시 동구 신천동 100 벽산e-솔렌스힐,대구광역시 동구 장등로 56,20070123,2,187,개별난방,도시가스,대성에너지,,False,35.872001779,128.62417481
대구광역시,동구,,신천동,A70176901,신천2주공아파트,아파트,대구광역시 동구 신천동 630 신천2주공아파트,대구광역시 동구 국채보상로155길 54,19980908,7,609,개별난방,도시가스,대성에너지,,False,35.872541068,128.613433855
대구광역시,동구,,신천동,A70102107,신천LH,아파트,대구광역시 동구 신천동 556-1 신천LH,대구광역시 동구 동부로 1,19890719,9,917,개별난방,도시가스,대성에너지,,False,35.874392685,128.614160028
대구광역시,동구,,신천동,A70102108,신천가람타운,아파트,"대구광역시 동구 신천동 551-31,대구광역시 동구 신천동 551-23,대구광역시 동구 신천동 551-35 신천가람타운",대구광역시 동구 신암로16길 16,19971212,9,1376,개별난방,도시가스,대성에너지,,False,35.87607226,128.609429998
대구광역시,동구,,신천동,A70102001,신천두산위브,아파트,대구광역시 동구 신천동 850 신천두산위브,대구광역시 동구 국채보상로 829,20080926,4,294,개별난방,도시가스,대성에너지,,False,35.867687377,128.621966277
대구광역시,동구,,신천동,A70102101,신천송라아파트,아파트,대구광역시 동구 신천동 1414 신천송라아파트,대구광역시 동구 동부로3길 38,19930710,1,174,개별난방,도시가스,대성에너지,,False,35.875949405,128.615859183
대구광역시,동구,,신천동,A10027974,신천역 까사밀라,도시형 생활주택(주상복합),"대구광역시 동구 신천동 538-3,대구광역시 동구 신천동 538-15,대구광역시 동구 신천동 538-3 신천역 까사밀라",대구광역시 동구 동부로 29,20150710,2,326,개별난방,도시가스,대성에너지,,False,35.874417518,128.615642598
대구광역시,동구,,신천동,A70102103,신천역더뷰파크,아파트,대구광역시 동구 신천동 600-5 신천역더뷰파크,대구광역시 동구 동부로 20,20021031,3,174,개별난방,도시가스,대성에너지,,False,35.873582772,128.614184969
대구광역시,동구,,신천동,A70176902,신천역센트럴리버파크,아파트,대구광역시 동구 신천동 621 신천역센트럴리버파크,대구광역시 동구 동부로 26,20110323,9,785,개별난방,도시가스,대성에너지,,False,35.873571367,128.61520834
대구광역시,동구,,신천동,A70102004,신천자이,아파트,대구광역시 동구 신천동 1503 신천자이,대구광역시 동구 신암로16길 25,20130814,9,854,개별난방,도시가스,대성에너지,,False,35.877051171,128.611523969
대구광역시,동구,,신천동,A70172601,신천청아람,아파트,대구광역시 동구 신천동 200-1 신천청아람,대구광역시 동구 송라로14길 132,20100203,5,490,개별난방,도시가스,대성에너지,,False,35.874085322,128.622539032
대구광역시,동구,,신천동,A70102003,신천휴먼시아6단지,아파트,대구광역시 동구 신천동 622 신천휴먼시아6단지,대구광역시 동구 송라로11길 39,20110117,5,550,개별난방,도시가스,대성에너지,,False,35.871497417,128.617168358
대구광역시,동구,,신천동,A70102106,우방푸른타운,아파트,대구광역시 동구 신천동 645-1 우방푸른타운,대구광역시 동구 국채보상로159길 41,19960629,7,607,개별난방,도시가스,대성에너지,,False,35.870638514,128.615584287
대구광역시,동구,,신천동,A70102303,"현대하이페리온 1, 2단지",주상복합,"대구광역시 동구 신천동 143-2,대구광역시 동구 신천동 148-4 현대하이페리온 1, 2단지",대구광역시 동구 국채보상로 863,20070405,4,388,개별난방,도시가스,대성에너지,,False,35.867662141,128.625402741
대구광역시,동구,,신천동,A70102002,화성파크드림이스트밸리,아파트,대구광역시 동구 신천동 160-1 화성파크드림이스트밸리,대구광역시 동구 송라로10길 34,20080929,4,447,개별난방,도시가스,대성에너지,,False,35.871504642,128.622712554
대구광역시,동구,,효목동,A10023299,동대구2차비스타동원,아파트,대구광역시 동구 효목동 1322 동대구2차비스타동원,대구광역시 동구 화랑로25길 60,20230331,12,627,개별난방,도시가스,대성에너지,,False,35.878321194,128.643199373
대구광역시,동구,,효목동,A10022465,동대구푸르지오 브리센트,,대구광역시 동구 효목동 430-4 동대구푸르지오 브리센트,대구광역시 동구 효목로5길 55,20240730,13,794,개별난방,도시가스,대성에너지,,False,35.874447716,128.635812439
대구광역시,동구,,효목동,A70184001,동촌강나루타운,아파트,대구광역시 동구 효목동 9 동촌강나루타운,대구광역시 동구 효동로 108,20000715,6,421,개별난방,도시가스,대성에너지,,False,35.886623411,128.642458936
대구광역시,동구,,효목동,A70103001,진로이스트타운,아파트,대구광역시 동구 효목동 55 진로이스트타운,대구광역시 동구 아양로 218,19980829,16,897,개별난방,도시가스,대성에너지,,False,35.884139518,128.639191766
대구광역시,동구,,효목동,A70170301,태왕메트로시티,아파트,대구광역시 동구 효목동 337 태왕메트로시티,대구광역시 동구 동북로 500,20031128,16,1859,개별난방,도시가스,대성에너지,,False,35.879823162,128.641436394
대구광역시,동구,,봉무동,A70117001,봉무청구새들마을,아파트,대구광역시 동구 봉무동 245 봉무청구새들마을,대구광역시 동구 팔공로 322-5,20010528,4,347,개별난방,도시가스,대성에너지,,False,35.92913001,128.642612477
대구광역시,동구,,봉무동,A70172001,이시아폴리스더샵1차,아파트,대구광역시 동구 봉무동 1524 이시아폴리스더샵1차,대구광역시 동구 팔공로53길 10,20121015,8,652,개별난방,도시가스,대성에너지,,False,35.925447935,128.639948087
대구광역시,동구,,봉무동,A70172002,이시아폴리스더샵2차,아파트,대구광역시 동구 봉무동 1522 이시아폴리스더샵2차,대구광역시 동구 팔공로 274,20130605,11,750,개별난방,도시가스,대성에너지,,False,35.92680213,128.642247706
대구광역시,동구,,봉무동,A70172003,이시아폴리스더샵3차,아파트,대구광역시 동구 봉무동 1530 이시아폴리스더샵3차,대구광역시 동구 팔공로51길 10,20131224,21,1686,개별난방,도시가스,대성에너지,,False,35.923541588,128.635959511
대구광역시,동구,,봉무동,A70172004,이시아폴리스더샵4차,아파트,대구광역시 동구 봉무동 1529 이시아폴리스더샵4차,대구광역시 동구 팔공로53길 40,20140721,9,774,개별난방,도시가스,대성에너지,,False,35.926462901,128.636585862
